+------+--------+-------------+---------+------+
|userID|    page|           ts|homevisit|period|
|      |    Home|1513802534284|        1|    59|
|      |    Home|1513800849284|        1|    60|
|      |    Home|1513799950284|        1|    61|
|      |    Home|1513799226284|        1|    62|
|      |    Home|1513798398284|        1|    63|
|      |    Home|1513797083284|        1|    64|
|      |    Home|1513795174284|        1|    65|
|      |    Home|1513794895284|        1|    66|
|      |    Home|1513794548284|        1|    67|
|      |    Home|1513792808284|        1|    68|
|      |    Home|1513792774284|        1|    69|
|      |    Home|1513792628284|        1|    70|
|      |    Home|1513792338284|        1|    71|
|      |    Home|1513791898284|        1|    72|
|      |    Home|1513790743284|        1|    73|
|      |    Home|1513790254284|        1|    74|
|      |    Home|1513790242284|        1|    75|
|      |    Home|1513789890284|        1|    76|
|      |    Home|1513789276284|        1|    77|
|      |    Home|1513789234284|        1|    78|
|      |    Home|1513787991284|        1|    79|
|      |    Home|1513787722284|        1|    80|
|      |    Home|1513787306284|        1|    81|
|      |    Home|1513786862284|        1|    82|
|      |    Home|1513786854284|        1|    83|
|      |    Home|1513786713284|        1|    84|
|      |    Home|1513786568284|        1|    85|
|      |    Home|1513786150284|        1|    86|
|      |    Home|1513785743284|        1|    87|
|      |    Home|1513785591284|        1|    88|
|      |    Home|1513785061284|        1|    89|
|      |    Home|1513784902284|        1|    90|
|      |    Home|1513784558284|        1|    91|
|      |    Home|1513784350284|        1|    92|
|      |    Home|1513784144284|        1|    93|
|      |    Home|1513783285284|        1|    94|
|      |    Home|1513782378284|        1|    95|
|      |    Home|1513781616284|        1|    96|
|      |    Home|1513781126284|        1|    97|
|      |    Home|1513781058284|        1|    98|
|      |    Home|1513781039284|        1|    99|
|      |    Home|1513781022284|        1|   100|
|      |    Home|1513780922284|        1|   101|
|      |    Home|1513780764284|        1|   102|
|      |    Home|1513780570284|        1|   103|
|      |    Home|1513780420284|        1|   104|
|      |    Home|1513780261284|        1|   105|
|      |    Home|1513780092284|        1|   106|
|      |    Home|1513779933284|        1|   107|
|      |    Home|1513779863284|        1|   108|
|      |    Home|1513779748284|        1|   109|
|      |    Home|1513779396284|        1|   110|
|      |    Home|1513778431284|        1|   111|
|      |    Home|1513778395284|        1|   112|
|      |    Home|1513778146284|        1|   113|
|      |    Home|1513777617284|        1|   114|
|      |    Home|1513777486284|        1|   115|
|      |    Home|1513777279284|        1|   116|
|      |    Home|1513776651284|        1|   117|
|      |    Home|1513776079284|        1|   118|
|      |    Home|1513775942284|        1|   119|
|      |    Home|1513775858284|        1|   120|
|      |    Home|1513775364284|        1|   121|
|      |    Home|1513775164284|        1|   122|
|      |    Home|1513775108284|        1|   123|
|      |    Home|1513775107284|        1|   124|
|      |    Home|1513774089284|        1|   125|
|      |    Home|1513772841284|        1|   126|
|      |    Home|1513771072284|        1|   127|
|      |    Home|1513771013284|        1|   128|
|      |    Home|1513770563284|        1|   129|
|      |    Home|1513770311284|        1|   130|
|      |    Home|1513769591284|        1|   131|
|      |    Home|1513767000284|        1|   132|
|      |    Home|1513766304284|        1|   133|
|      |    Home|1513764939284|        1|   134|
|      |    Home|1513764513284|        1|   135|
|      |    Home|1513764034284|        1|   136|
|      |    Home|1513763741284|        1|   137|
|      |    Home|1513763662284|        1|   138|
|      |    Home|1513763025284|        1|   139|
|      |    Home|1513762196284|        1|   140|
|      |    Home|1513760813284|        1|   141|
|      |    Home|1513760099284|        1|   142|
|      |    Home|1513758729284|        1|   143|
|      |    Home|1513757790284|        1|   144|
|      |    Home|1513757589284|        1|   145|
|      |    Home|1513751450284|        1|   146|
|      |    Home|1513751311284|        1|   147|
|      |    Home|1513751234284|        1|   148|
|      |    Home|1513750875284|        1|   149|
|      |    Home|1513750618284|        1|   150|
|      |    Home|1513748217284|        1|   151|
|      |    Home|1513747529284|        1|   152|
|      |    Home|1513747001284|        1|   153|
|      |    Home|1513746674284|        1|   154|
|      |    Home|1513746594284|        1|   155|
|      |    Home|1513746544284|        1|   156|
|      |    Home|1513746353284|        1|   157|
|      |    Home|1513746331284|        1|   158|
|      |    Home|1513746313284|        1|   159|
|      |    Home|1513745727284|        1|   160|
|      |    Home|1513745516284|        1|   161|
|      |    Home|1513743807284|        1|   162|
|      |    Home|1513742804284|        1|   163|
|      |    Home|1513742458284|        1|   164|
|      |    Home|1513742384284|        1|   165|
|      |    Home|1513741997284|        1|   166|
|      |    Home|1513738847284|        1|   167|
|      |    Home|1513737804284|        1|   168|
|      |    Home|1513736560284|        1|   169|
|      |    Home|1513736082284|        1|   170|
|      |    Home|1513735959284|        1|   171|
|      |    Home|1513734883284|        1|   172|
|      |    Home|1513733637284|        1|   173|
|      |    Home|1513731834284|        1|   174|
|      |    Home|1513731277284|        1|   175|
|      |    Home|1513731045284|        1|   176|
|      |    Home|1513730953284|        1|   177|
|      |    Home|1513730621284|        1|   178|
|      |    Home|1513730128284|        1|   179|
|      |    Home|1513729762284|        1|   180|
|      |    Home|1513729376284|        1|   181|
|      |    Home|1513729051284|        1|   182|
|      |    Home|1513724530284|        1|   183|
|      |    Home|1513724475284|        1|   184|
|      |    Home|1513723183284|        1|   185|
|      |    Home|1513722009284|        1|   186|
|      |    Home|1513721274284|        1|   187|
|    10|NextSong|1513828388284|        0|     0|
|    10|NextSong|1513790894284|        0|     0|
|   100|    Home|1513839673284|        1|     1|
|   100|NextSong|1513776308284|        0|     1|
|   100|    Home|1513776194284|        1|     2|
|   100|NextSong|1513775710284|        0|     2|
|   100|NextSong|1513775556284|        0|     2|
|   100|    Home|1513775431284|        1|     3|
|   100|NextSong|1513750442284|        0|     3|
|   100|NextSong|1513750214284|        0|     3|
|  1000|NextSong|1513720878284|        0|     0|
|  1003|    Home|1513749525284|        1|     1|
|  1003|NextSong|1513749516284|        0|     1|
|  1003|    Home|1513749501284|        1|     2|
|  1005|NextSong|1513782278284|        0|     0|
|  1006|NextSong|1513774019284|        0|     0|
|  1006|NextSong|1513773777284|        0|     0|
|  1006|NextSong|1513773548284|        0|     0|
|  1017|NextSong|1513822643284|        0|     0|
|  1017|    Home|1513822400284|        1|     1|
|  1017|NextSong|1513821682284|        0|     1|
|  1017|NextSong|1513821424284|        0|     1|
|  1017|NextSong|1513821152284|        0|     1|
|  1017|    Home|1513820906284|        1|     2|
|  1017|NextSong|1513819172284|        0|     2|
|  1017|NextSong|1513818931284|        0|     2|
|  1017|NextSong|1513818718284|        0|     2|
|  1017|NextSong|1513818488284|        0|     2|
|  1017|NextSong|1513818023284|        0|     2|
|  1017|NextSong|1513817806284|        0|     2|
|  1019|NextSong|1513830645284|        0|     0|
|  1019|NextSong|1513830459284|        0|     0|
|  1019|NextSong|1513830220284|        0|     0|
|  1019|NextSong|1513830061284|        0|     0|
|  1019|NextSong|1513829839284|        0|     0|
|  1019|NextSong|1513829613284|        0|     0|
|  1019|NextSong|1513829218284|        0|     0|
|  1019|NextSong|1513828949284|        0|     0|
|  1019|NextSong|1513828654284|        0|     0|
|  1019|NextSong|1513828389284|        0|     0|
|  1019|NextSong|1513828147284|        0|     0|
|  1019|NextSong|1513827978284|        0|     0|
|  1019|NextSong|1513827810284|        0|     0|
|  1019|NextSong|1513827346284|        0|     0|
|  1019|NextSong|1513827155284|        0|     0|
|  1019|NextSong|1513826963284|        0|     0|
|  1019|    Home|1513826961284|        1|     1|
|  1019|    Home|1513797224284|        1|     2|
|  1019|NextSong|1513791897284|        0|     2|
|  1019|NextSong|1513791702284|        0|     2|
|  1019|NextSong|1513791267284|        0|     2|
|  1019|    Home|1513791259284|        1|     3|
|  1019|NextSong|1513747160284|        0|     3|
|  1019|NextSong|1513746941284|        0|     3|
|  1019|NextSong|1513746344284|        0|     3|
|  1019|    Home|1513746335284|        1|     4|
|  1019|    Home|1513746328284|        1|     5|
|  1020|NextSong|1513742173284|        0|     0|
|  1020|NextSong|1513742096284|        0|     0|
|  1020|NextSong|1513741834284|        0|     0|
|  1020|NextSong|1513741612284|        0|     0|
|  1020|    Home|1513741324284|        1|     1|
|  1022|NextSong|1513767004284|        0|     0|
|  1022|NextSong|1513766963284|        0|     0|
|  1025|    Home|1513788604284|        1|     1|
|  1025|NextSong|1513746819284|        0|     1|
|  1025|NextSong|1513746589284|        0|     1|
|  1025|NextSong|1513746334284|        0|     1|
|  1025|NextSong|1513746207284|        0|     1|
|  1030|NextSong|1513778378284|        0|     0|
|  1035|NextSong|1513826206284|        0|     0|
|  1035|NextSong|1513825983284|        0|     0|
|  1035|NextSong|1513825608284|        0|     0|
|  1035|NextSong|1513825319284|        0|     0|
|  1035|NextSong|1513824943284|        0|     0|
|  1035|NextSong|1513824657284|        0|     0|
|  1035|NextSong|1513824498284|        0|     0|
|  1035|NextSong|1513824269284|        0|     0|
|  1035|NextSong|1513824101284|        0|     0|
|  1035|NextSong|1513823890284|        0|     0|
|  1035|NextSong|1513823676284|        0|     0|
|  1035|NextSong|1513823370284|        0|     0|
|  1035|NextSong|1513823166284|        0|     0|
|  1035|NextSong|1513822898284|        0|     0|
|  1035|NextSong|1513822579284|        0|     0|
|  1035|NextSong|1513822379284|        0|     0|
|  1035|NextSong|1513822174284|        0|     0|
|  1035|NextSong|1513821897284|        0|     0|
|  1035|NextSong|1513821699284|        0|     0|
|  1035|NextSong|1513821537284|        0|     0|
|  1035|NextSong|1513821425284|        0|     0|
|  1035|NextSong|1513821224284|        0|     0|
|  1035|NextSong|1513820933284|        0|     0|
|  1035|NextSong|1513820738284|        0|     0|
|  1035|NextSong|1513820515284|        0|     0|
|  1035|NextSong|1513820321284|        0|     0|
|  1035|NextSong|1513820092284|        0|     0|
|  1035|NextSong|1513819851284|        0|     0|
|  1035|NextSong|1513819506284|        0|     0|
|  1035|NextSong|1513819284284|        0|     0|
|  1035|NextSong|1513819080284|        0|     0|
|  1035|    Home|1513818818284|        1|     1|
|  1035|NextSong|1513818812284|        0|     1|
|  1035|NextSong|1513818157284|        0|     1|
|  1035|NextSong|1513817765284|        0|     1|
|  1035|NextSong|1513817520284|        0|     1|
|  1035|NextSong|1513817292284|        0|     1|
|  1035|NextSong|1513817062284|        0|     1|
|  1035|NextSong|1513816925284|        0|     1|
|  1035|NextSong|1513816706284|        0|     1|
|  1035|NextSong|1513816504284|        0|     1|
|  1035|NextSong|1513816156284|        0|     1|
|  1035|NextSong|1513815960284|        0|     1|
+------+--------+-------------+---------+------+
only showing top 300 rows

